Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,parsed_content
41,682883fd-c91e-4dfb-b3c2-790c39593c60,Suhermanto,https://play-lh.googleusercontent.com/a-/ALV-UjWsNdOWfvC-cITJ1j4n34OEHH61e5sGtBuEin-vLmqlQpc,"Akhir-akhir ini sering berhenti di tengah permainan, mohon untuk segera di perbaiki,hal ini terjadi setelah adanya pembaharuan",5,7,0.275.3,2023-07-09 07:01:09,,,0.275.3,Akhir-akhir
42,8f1d6531-4667-44f8-9242-2c78ab98109d,Hendra Prapto,https://play-lh.googleusercontent.com/a-/ALV-UjXocpqbY3OHKSVM6xYGAj4QzbeeOmL6jnBglo1iB2D3dA,"Bola merah,biru,kuning sama aja gak ada beda nya , nangkap pokemon dasar pake bola kuning, butuh 4 sampai 6 bola di great trow , langsung uninstal",1,4,0.275.1,2023-07-07 17:58:44,,,0.275.1,Bola
43,69f9ed08-5d54-4c4c-bd18-c43de66a0aa4,Tam Tam,https://play-lh.googleusercontent.com/a/ACg8ocKewVL3o-_S-LSaO9SwvNm735AIV8E4lINAYotj9vxU=mo,GPS ya error' aku berjalan lebih dari 10 kilometer. Yg di dapat GPS nya 2 Kilometer,1,6,0.271.0,2023-05-25 12:44:58,,,0.271.0,GPS
44,fe0fc0ee-d665-4be8-b7cc-4310c49fc7a7,indra gunawan,https://play-lh.googleusercontent.com/a/ACg8ocICOogTr16mOuPWchP3oKyhBUxNP-tLpNLt-hde1o8q=mo,"For developer tolong untuk fitur menambah teman agar di permudah agar bisa melakukan raid bareng-bareng, dan tolong untuk para cheater yg menggunakan fake GPS segera diurus",4,4,0.271.2,2023-06-13 01:31:12,,,0.271.2,For
45,b4f5fda9-1716-45a7-90a2-874bd862e595,Ibnu Sahril,https://play-lh.googleusercontent.com/a-/ALV-UjWDnqEfaCvdzZSJPpyXUe1tnGMqMvhT0VoCcVTcqlz3MQ,Geme nya bagus tapi kolo sinyal nya nelek suka jalan jalan sendiri tolong di perbaikilah lagi ya,4,4,0.271.2,2023-06-13 21:36:18,,,0.271.2,Geme
46,9613646f-a993-415a-a18a-e6052ebec2a9,NAGATO DIAMOND,https://play-lh.googleusercontent.com/a-/ALV-UjW_gQ02PaTn6EGB8Q81egLyJT0XPilm4mJ-izWFEAIf8g,Login nya di perbaiki Uda bener masih salah hsdkhfjxxkx niat kagak login nya dulu benerin bukan game login nya loginnya loging cokkkkkkkoii kalah Ama pokemon unite login gampang gak berat mudah lagi,1,0,0.271.2,2023-05-26 19:25:17,,,0.271.2,Login
47,770ae2c6-b79e-4fd9-945d-c5ed2dbd3747,Ali Guvron,https://play-lh.googleusercontent.com/a/ACg8ocICRmh19d81oQMUnueLq7U-U0q6nKgOcnb1w-o4QvE_=mo,Tolong dong nanti updet tambahin pitur melacak pokemon di mode Ar kaya gini misal kita mencet pitur itu terus kita arahin kemana aja biar Nemu pokemon biar gampang tapi inijuga bagus tapi kalo bisa tambahin pitur itu,5,4,0.271.2,2023-06-01 14:44:51,,,0.271.2,Tolong
48,15361dff-2130-4222-bdfb-c03eda0d24ca,Muhammad Boy Tanjung,https://play-lh.googleusercontent.com/a-/ALV-UjX2leFmPng37VK78_eS0C71DkkW6rEGhd3LKr4-zN-rcKg,"Seandainya ditambahin fitur di mapnya bisa liat trainer yang lain , dan bisa di ajak chatt lebih mantul deh.. jadi tau yang main pokemon go di daerah sana berapa orang pasti lebih asik",4,4,0.271.2,2023-05-24 16:51:43,,,0.271.2,Seandainya
49,5a0e274d-3472-40eb-bac2-e5affb0458e1,Ridho Alfiansyah,https://play-lh.googleusercontent.com/a-/ALV-UjXD8n0pcAWOpLIwEN4g266ZS6Q4gqmiNSOmQ43J-4FPHw,Aplikasi nya bagus sekali mudah untuk memainkannya dan ada tantangannya,4,17,0.273.3,2023-06-30 18:56:18,,,0.273.3,Aplikasi
50,6edcb621-4405-4266-8fca-5d771f942c5e,adito yudiantara,https://play-lh.googleusercontent.com/a/ACg8ocId6UnO2S6JykKaEwcUt8-QKGIH1xERCrtZYUjIbawp=mo,Sring eror sata betarung pokemon tidak terlihat dan berhenti sendiri saat dicancel hp pokemon tetap berkurang tp kalo ditunggu lama ttp berhenti dan ini terjadi berkali2,1,0,0.269.2,2023-05-12 04:48:47,,,0.269.2,Sring
